Length,asii_value,word_count,Vowel_Count,consonants,syllable_count,underscore,hyphen,tandi,tanv,count_n,count_v,count_adj,max_length_word,min_length_word,ratito_char,label
17,1834,2,6,11,7,0,0.0,0.35294117647058826,1,1,0,11,6,1.0,4,9
18,1816,8,5,13,4,0,0.0,0.2777777777777778,0,0,0,4,1,1.0,4,12
18,1861,2,6,12,6,1,0.05555555555555555,0.3333333333333333,0,0,0,11,6,0.9444444444444444,4,8
21,2299,6,11,10,10,0,0.0,0.5238095238095238,1,0,0,6,2,1.0,4,4
7,752,3,2,5,2,0,0.0,0.2857142857142857,1,0,0,4,1,1.0,1,0
12,1265,6,2,10,2,0,0.0,0.16666666666666666,0,0,0,3,1,1.0,2,15
6,637,1,3,3,1,0,0.0,0.5,0,0,0,6,6,1.0,1,0
26,2231,18,3,23,5,0,0.0,0.11538461538461539,0,0,0,2,1,1.0,4,3
16,1748,6,5,11,4,0,0.0,0.3125,0,0,0,4,2,1.0,4,6
4,418,1,2,2,1,0,0.0,0.5,0,0,0,4,4,1.0,1,0
4,428,2,2,2,2,0,0.0,0.5,0,0,0,2,2,1.0,1,0
7,755,2,3,4,2,0,0.0,0.42857142857142855,1,1,0,4,3,1.0,1,0
12,1300,3,2,10,2,0,0.0,0.16666666666666666,1,1,0,5,3,1.0,2,0
15,1633,8,2,13,2,0,0.0,0.13333333333333333,0,0,0,2,1,1.0,4,2
17,1830,8,3,14,3,0,0.0,0.17647058823529413,1,0,0,3,2,1.0,4,7
13,1321,2,5,8,4,1,0.07692307692307693,0.38461538461538464,1,0,1,6,6,0.9230769230769231,3,8
8,706,3,1,7,1,0,0.0,0.125,1,1,0,4,1,1.0,1,0
13,1342,5,6,7,5,0,0.0,0.46153846153846156,0,0,0,3,2,1.0,3,0
10,1089,4,5,5,5,0,0.0,0.5,2,0,0,4,1,1.0,2,0
15,1706,8,5,10,4,0,0.0,0.3333333333333333,1,0,0,2,1,1.0,4,2
12,1280,5,3,9,1,0,0.0,0.25,0,0,0,3,2,1.0,2,15
12,1292,2,4,8,4,0,0.0,0.3333333333333333,0,0,0,7,5,1.0,2,8
7,757,3,2,5,2,0,0.0,0.2857142857142857,0,0,0,3,2,1.0,1,0
5,540,1,2,3,2,0,0.0,0.4,0,0,0,5,5,1.0,1,0
17,1827,2,7,10,6,0,0.0,0.4117647058823529,0,0,0,9,8,1.0,4,9
29,3154,5,9,20,8,0,0.0,0.3103448275862069,5,5,0,10,3,1.0,4,5
10,1047,6,0,10,1,0,0.0,0.0,0,0,0,2,1,1.0,2,13
15,1550,9,2,13,3,0,0.0,0.13333333333333333,0,0,0,3,1,1.0,4,13
12,1311,5,5,7,4,0,0.0,0.4166666666666667,0,0,0,4,1,1.0,2,15
6,655,1,3,3,2,0,0.0,0.5,1,0,0,6,6,1.0,1,0
16,1785,7,6,10,4,0,0.0,0.375,0,0,0,3,1,1.0,4,1
7,748,3,3,4,3,0,0.0,0.42857142857142855,1,0,0,3,2,1.0,1,0
18,1878,12,3,15,4,0,0.0,0.16666666666666666,0,0,0,4,1,1.0,4,12
28,3035,5,10,18,9,0,0.0,0.35714285714285715,3,3,1,9,4,1.0,4,5
